,entity_1,entity_2
0,Shark Expression,List Expression
1,Attribute Declaration,Event Attribute
2,Chapter,Researcher
3,Comment,Workflow
4,Password,User
5,uncommunicativeness,passage
6,Change Operator,Split Entity
7,Plot,Action
8,Architecture Object,Requirement
9,Mapping,Octal Mapping
10,economic_value,boot
11,Type Reference,Class
12,Channel Adapter,Type
13,Comparison Condition,Property Elements
14,Operand,Binary
15,root,user
16,Paper,Keyword
17,Delete Statement,Delete Clause
18,sentence,project
19,Abstract Element,sexual_intercourse
20,Sensor Parameters,Sensor Parameter
21,neurogliacyte,property
22,Carro,Veiculo
23,Training Input,Decl
24,Window,Type Batch
25,Named Reference,Element Reference
26,listing,Empty List
27,Multiplicity Entity,Construct
28,Data,Vars
29,Patrol Members,Party
30,Nested3 State,Nested2 State
31,Configuration,Prop
32,Smarty,Genius
33,Init,look
34,Statement,Void Statement
35,Fashion Style,Fashion Domain
36,Expression,Member
37,Reference,Block
38,Prohibited Substitutions,Prohibited Substitutions
39,Data Entity,Method
40,Resource,Atribute
41,Expresion,Business Entity
42,Doc Ref,Doc Resource
43,Enviromment,Diagram Element
44,Watches,Resource
45,Src Class,Src Property
46,Stmt,Ass Stmt
47,condition,Comparison
48,Lock Instruction,Synchronisation Instruction
49,Printer,Printer Pool
50,Identifier,Primary Expression
51,Transformation Model,Global Specification
52,Purchase Entity,Model
53,System Pattern,Parameter
54,Rule,statement
55,Car,Vehicle
56,Entity,Post Type
57,Archimate Element,Infrastructure Interface
58,Nosql Esquema,Schema
59,Signature,Sig Ext
60,Symbol Token,Token
61,Tool,Person
62,Mantis Issue,Mantis Reproducability
63,Feature Group,Abstract Feature
64,Supporting Data,Fact
65,Properties,Color
66,Variable Expression,Expression Statement
67,Named Parameter,Service
68,Assertions,Assertion Braced
69,Shortcut,File
70,Ty Vars,Decl Export
71,New Stat,Emit Stat
72,Element,Implementation
73,Annotation Parameter,Generic Annotation
74,Humain,Cowboy
75,Licencia,Tipo Licencia
76,Ant Script,Script
77,Range,Field
78,League,Player
79,Abstract State,Initial State
80,direction,Sharpen
81,Extendable,Sensor
82,Motor,Car
83,Generalizable Element,Stereotype
84,Assign,Line
85,Base Friendship,Member
86,Element_ Level6,Element_ Level7
87,Class,Generalization
88,Model Fastfst,Bld File_3_
89,Parenthesized Update,Update Expression
90,Include,Model
91,gens,Base Baz
92,Event,Task
93,expression,iteration_statement
94,Views,Entities
95,Package,Component Package
96,Class,Conjunction
97,Call Performance,Advice
98,Term Binding,Elements
99,Travel,Person
100,Switch,Mapping
101,Look Ahead1,Look Ahead2
102,goatskin,deficit spending
103,Traceable Element,Traceability Link
104,Provider,factor
105,Attrs,H4
106,Ordered Description,Test Case
107,caramelized sugar,individual
108,Path Body,And Fork
109,Aggregate Type,Union Type
110,Base Command,alternative
111,Store,Building
112,Option,Value
113,Model,Board
114,Sensor,Module Name
115,Path Expression,Step
116,Math Diagram,Operator
117,Intemediate Element,Binding Element
118,Mapping Entity,Configuration Class
119,Action Template,Action
120,barroom,province
121,Component Instantiation,Emits Def
122,Attribute,Visibility
123,G7 Element,Transition
124,Field,Cell Type
125,octopod,individual
126,Project,National
127,Player,Game Object
128,Class,Association
129,Assembly Descriptor,Security Role
130,Path,Named Element
131,Command,Schedule
132,Punto Descarga,Cliente
133,Space,Model
134,Game,Piece
135,Article,Journal
136,Buzzer,School Room
137,Data Object,artefact
138,Abstract Type,Document
139,Expression,Execute Command
140,Exception Def,Field
141,Unary Dependency,Refines
142,Node,Attribute Node
143,Start End,Start
144,Base Shape,Peripheries
145,Expression Statement,Null Expression
146,Sensor,Iot Component
147,Neg Fml,Term
148,study,study
149,Model Reg,Extension Reg
150,Dependency,Disabling
151,Define Variables,Define Variable
152,fct_def,builtin
153,Avoidance Patterns,Global Avoidance
154,Node,Rfid Reader
155,Etat Courant,Etat Courant
156,Recurso,Medicamento
157,T2,T1
158,Base Geometry,Geometry Objects
159,Operation,Classifier Member
160,Group,Person
161,Type Reference,Type Reference
162,Main Board,Round
163,Named Element,Interface
164,Background Activity,View Activity
165,Iterator Statement,Expression
166,Specialization,Course Group
167,Fly,Bee
168,Storage,Node
169,economic_value,prunus dasycarpa
170,Multiplicity Element,Local Element
171,genus callithrix,economic_value
172,Project,Global Scope
173,Test271,Test272
174,Metadata,web_page
175,User,User Star
176,Input,Automaton
177,theoretical_account,activity
178,supercilium,Returntype
179,point,gens
180,Comment,Process Assignment
181,Composite State,Thing
182,ternion,messiahship
183,trench,knob
184,Defined Type,Type Decl
185,Document,Body
186,Operation,Abstract Message
187,trade_name,gallop rhythm
188,Ref Entity,Entity Type
189,Router,Resource Provider
190,Time,Environment
191,Actor,Layout
192,kid,vial
193,dejeuner,individual
194,economic mobilisation,iodine
195,Parent,Artifact
196,Java,Extension
197,beginning,drunkard
198,Storage Charge,Unit Duration
199,Float Sensor,Temperature Sensor
200,recording_label,madonna lily
201,Component Inst,Process
202,Activite,Processus
203,Base Member,station
204,Geometry,Ligne
205,And Block,Then Block
206,Effbd Node,Transformed
207,Tool,Twitter
208,Tool,Tools
209,Sine Oscillator,squirrel
210,Body,Right Wrist
211,Field Condition,Abstract Condition
212,economic_value,ozark sundrops
213,Assembly,Raster Item
214,Row,Dataset
215,Package,Installed Package
216,Measure Action,Action
217,componentinfo,Turn Table
218,University,work
219,Model,Cross Ref
220,Abstract View,View Collection
221,Feature,Object
222,port_wine,sirenian mammal
223,Passo,Monitoramento
224,Tip Specification,Iteration
225,Ul,Lists
226,Beaver_ State,Bin Op
227,generic_wine,Idaho
228,Method,Annotable
229,Variable,Node
230,Translation,Transformation
231,Student,Class
232,Condition,App Object
233,Role Type,Abstract Role
234,knob,charadrius melodus
235,Expression,Op
236,Pattern Element,Metanode
237,Mod Expression,Expression
238,Base Element,Name
239,Blockquote,Attrs
240,Model,Plat Model
241,State2,Named Element
242,Simple Type,Data Type
243,palaeogeography,tree_diagram
244,Block,Control Structure
245,Society,Specialization
246,Service Quality,Service
247,Invariant Decl,Multiplicity Invariant
248,Privat Kunde,Steuerinlaender
249,Mormant,Inspector
250,Route,Routes
251,Relationship Link,Entity
252,incongruousness,gens
253,Postrm Sgmlcatalog,File
254,Reviewer,Critic
255,bornean,family megalosauridae
256,Tx Advise,Configuration
257,Property Type,Property
258,misprint,turbulency
259,Type Ref,Complex Type
260,Meta Model,Model
261,Case Block,Expression
262,Time Interval,Time Point
263,Config,Config Logic
264,gens,helmetflower
265,Rule Type,Rule
266,Duration,Wait
267,Named Port,Name
268,Base Method,Requests
269,Termination,Interrogation
270,Antwort Typ,Zahl
271,agreeability,economic_value
272,Deployment Import,Simple Name
273,Action,Scope
274,Game State,Ghost
275,Step,Alternative Flow
276,Abstract Expression,Bbbb
277,Point,Final Point
278,Primitive Sort,Sort
279,Ocl Expression,Property Operation
280,Assignment,Topic
281,Co Co,Project
282,Rules,At Location
283,Composite Element,Group
284,Type,Text
285,human_body,Frame Name
286,Shape,Is Attached
287,Composite Entity,Component Entity
288,Class Type,Method
289,Allow,Action
290,Operation,Functional Unit
291,Assembled Checker,Assembler
292,Code,Plan
293,entitynote,entity
294,Type Declaration,Property
295,Project,Main Project
296,Java2 Accessors,Java2 Refinement
297,Ocl Expression,Ocl Type
298,Linkable Widget,Image
299,Test24,Test23
300,component,insertion
301,Operation,Port
302,Expression,Base Operand
303,Level Action,Expression
304,Relator Class,Model Class
305,Assertion,Annotable
306,Table,placeholder5957651
307,Junction,Relationship
308,schnoz,otorhinolaryngology
309,Transition,Pre Condition
310,Selector,Input
311,Model,Uno Config
312,Working Directory,Circuit
313,To Sink,Port
314,tanacetum camphoratum,economic_value
315,Ordering Term,Expression
316,Attribute,mark
317,Feature,Model
318,Configuration Component,Configuration Class
319,Named Element,Cause
320,ken kesey,ball
321,Comment,Identifiable
322,Attribuable,Attribution
323,Schedule,Employee
324,undertaking,physique
325,Pedido,Tarea
326,logical_or_expression_linha,logical_or_expression
327,Spike Feature,Spike
328,Node Object,Literal
329,planera,mandelbrot
330,Api,Fragment
331,Carte Vins,Vin
332,Small Step,Step
333,Step,Small Step
334,Attributed Node,Generalization
335,Model,Participant
336,Primitive,Port
337,Property,Type Declaration
338,Container,Host
339,Aplicacion,Tipo Dato
340,Sub Menu,Menu Resource
341,For Range,Line Command
342,Wifi Configuration,Device
343,Condition Rule,Fluent
344,Natural Type,Natural Type
345,Scroll Bar,Widget
346,horizontal tail,numbering
347,Stalker Item,Actividad
348,Exit Mode,Enter Mode
349,Visualization,Result
350,Location,Representation
351,Page Principale,Fichiers
352,Condition,Named Element
353,Context,Platform
354,Entity,Entity Service
355,economic_value,idiom neutral
356,penitent,economic_value
357,Res Constr,Comp Ref
358,Annotation Graphics,Offset
359,Test232,Test233
360,Definition,declaration
361,On Entry,Send
362,Service,Collection Method
363,Penalite,Contestations
364,Bin Exp,And
365,Reponse Redirigable,Question
366,Value,Item
367,Edge,Diagram
368,Element,Scenario
369,Simulated Resources,flammability
370,Step Expression,Term
371,symbolization,component
372,gens,foul shot
373,Command,Type Command
374,Interval,Simple Var
375,Partition Key,Table
376,Device,Device Platform
377,Apperance,Widget
378,Mantis Root,Issue
379,Switch Definition,Name
380,Setting,Car
381,Classifier,unseen
382,Function,Body
383,club,Published Paper
384,gens,proteles
385,Class File,Archive
386,Hex Color,Term
387,Tax_ Payer,Dependent
388,Structure Node,Block Structure
389,Unit,Required Capability
390,for,Term
391,Route Type,Ship
392,piece_of_paper,quarrel
393,Name,Proc Def
394,Length Feature,Length Feature
395,Base Actions,activity
396,Accessor,Attr Decl
397,Compound,Statement
398,Value,thead
399,Graph Element,Point
400,Affectation,Emploi
401,aggregation,theoretical_account
402,Token,Pod Token
403,Evidence Group,Evidence Item
404,unit_of_ammunition,relocation
405,Eclipse Project,Project Member
406,Page Footer,Link Item
407,real_number,Primitive Type
408,Text Field,Component
409,Parties,Rapport
410,Number,Textarea
411,Scopeable,Detailed Scope
412,Tracker,Named Element
413,Gravity,Model Fastfst
414,City Sensing,Monitored City
415,kelvin,economic_value
416,military_operation,belongings
417,View State,State
418,Right Pattern,Element
419,Indexed Element,Option Source
420,Named Element,Pk
421,Id,Artist
422,In Oper,Full Expression
423,Model Fastfst,Bl Pitch_1_
424,Date Convert,Action
425,Attribut Instance,Event Instance
426,laportea,Java Device
427,mental_image,mental_image
428,Binary Exp,Minus
429,Unary Operator,Exs
430,Basic Font,Font
431,Data,Aula
432,Literal,Special Literal
433,Contents Goal,Jelly Command
434,Uses Statement,Grouping Statement
435,User Type,Type Def
436,Package System,Import
437,String Literal,Primitive
438,Name,Class
439,Referenced Process,Process Expression
440,Resequencer,Expression
441,Ruta,Camion
442,Bend Point,Abstract Element
443,Lexical State,province
444,Terminal,Char Terminal
445,Elt Exp,Valeur
446,locust,action
447,State,Expo Distribution
448,component,leafage
449,Ports,Container
450,Model,Request
451,Absa,Inst_ X0
452,Storage,Room
453,historic_period,pot-au-feu
454,Node Component,Spark
455,Condition Container,Behavior
456,Derived Type,Type
457,Array,Formula
458,Model,Init
459,Expression Block,Else Expression
460,Feature Decl,Feature
461,butterscotch,archil
462,Navigation Node,Comment
463,Out Port,Signature
464,Operands,Operand
465,Terms,Pred
466,Block Count,Size
467,course_of_study,course_of_study
468,Configuration Method,Mapping Entity
469,Routine,Defence Routine
470,Objects,Array
471,Conditional Node,Executable Node
472,Account,Card
473,Named,Compose
474,Tourner,Mouvement
475,Parameter,Definition Reference
476,Command,Expression
477,Model,Instruction
478,Goto,Label
479,State Phrase,Verify Action
480,Leg,Network
481,Jpa Config,Localized
482,Arch,Node
483,Pattern,Relation
484,Card Payment,Credit Card
485,President,Person
